Basin,Country,Description,DateSigned,Signatories,IssueArea
Elbe,Czech Republic,Convention on the international commission for the protection of the Elbe,08/10/1990,Germany  Federal Republic of  Czech and Slovak Republic  European Economic Community,Water Quality
General,Czech Republic,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Congo/Zaire,Democratic Republic of Congo,Exchange of notes accepting the protocol relative to the Tanganyika-Ruanda-Urundi Frontier,17/05/1926,Great Britain  Belgium,Border Issues  Fishing
Congo/Zaire,Democratic Republic of Congo,Convention between Belgium and Portugal regarding various questions of economic interest of the colonies Belgian Congo and Angola,20/07/1927,Belgium  Portugal,Hydro-power/Hydro-electricity
Congo/Zaire,Democratic Republic of Congo,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
Congo/Zaire,Democratic Republic of Congo,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
Unknown,Denmark,Agreement between Denmark and Germany relating to watercourses and dikes on the German-Danish frontier  together with a final protocol and instructions for the Frontier Water Commission and the Supreme Frontier Water Commission  attached as annex to the Treaty between both countries concerning the settlement of questions arising out of the transfer to Denmark of the sovereignty of North Slesvig,10/04/1922,Denmark  Germany,N.A.
General,Denmark,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
General,Djibouti,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
General,Dominican Republic,Comite' Coordinador Regional de Inistituciones de Agua Potable y Saneamiento de Centroamerica  Panama' y Republica Dominicana (CAPRE),01/05/1979,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama  Dominican Republic,N.A.
Artibonite,Dominican Republic,Boundary Agreement between the Dominican Republic and the Republic of Haiti.,18/04/1905,Haiti  Dominican Republic,N.A.
Artibonite,Dominican Republic,Additional protocol to the Treaty of 1/21/1929 regarding the delimitation of the frontier between the two countries. (Boundary Agreement between the Dominican Republic and the Republic of Haiti),15/02/1936,Haiti  Dominican Republic,N.A.
Massacre,Dominican Republic,Additional protocol to the Treaty of 1/21/1929 regarding the delimitation of the frontier between the two countries. (Boundary Agreement between the Dominican Republic and the Republic of Haiti),15/02/1936,Haiti  Dominican Republic,N.A.
Pedernales,Dominican Republic,Additional protocol to the Treaty of 1/21/1929 regarding the delimitation of the frontier between the two countries. (Boundary Agreement between the Dominican Republic and the Republic of Haiti),15/02/1936,Haiti  Dominican Republic,N.A.
Artibonite,Dominican Republic,Treaty of peace  of friendship and of arbitration between the Dominican Republic and the Republic of Haiti  signed at Saint-Domingue,20/02/1929,Dominican Republic  Haiti  Republic of,Border Issues
Massacre,Dominican Republic,Treaty of peace  of friendship and of arbitration between the Dominican Republic and the Republic of Haiti  signed at Saint-Domingue,20/02/1929,Dominican Republic  Haiti  Republic of,Border Issues
Pedernales,Dominican Republic,Treaty of peace  of friendship and of arbitration between the Dominican Republic and the Republic of Haiti  signed at Saint-Domingue,20/02/1929,Dominican Republic  Haiti  Republic of,Border Issues
Zarumilla,Ecuador,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal.,20/06/1905,Ecuador  Peru,N.A.
Chira,Ecuador,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira Basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira Basins).,26/02/1975,Ecuador  Peru,N.A.
Tumbes,Ecuador,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira Basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira Basins).,26/02/1975,Ecuador  Peru,N.A.
Zarumilla,Ecuador,Reglamento para la Administracion del Canal de Zarumilla y la utilizacion de sus aguas,26/10/1998,Ecuador  Peru,N.A.
Zarumilla,Ecuador,Reglamento para la administracion del canal de zarumilla y la utilization de sus aguas,26/10/1998,Ecuador  Peru,N.A.
Unknown,Ecuador,Final protocol of the Boundary Commission (between Germany and Poland),18/10/1924,Germany  Poland,N.A.
Unknown,Ecuador,Protocol of Peace  Friendship and Boundaries Signed between Peru and Ecuador in Rio de Janeiro on January 29  1942,29/01/1942,Peru  Ecuador,N.A.
Chira,Ecuador,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins).,27/09/1971,Peru  Ecuador,N.A.
Tumbes,Ecuador,Agreement for the development of the binational Puyango-Tumbes and Catamayo-Chira basins by Peru and Ecuador (with provisional rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins).,27/09/1971,Peru  Ecuador,N.A.
Chira,Ecuador,Exchange of letters constituting an agreement approving the rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins  as provided for in article 16 of the abovementioned Agreement.,10/06/1972,Peru  Ecuador,N.A.
Tumbes,Ecuador,Exchange of letters constituting an agreement approving the rules of procedure of the Mixed Peruvian-Ecuadorian Commission for the Puyango-Tumbes and Catamayo-Chira basins  as provided for in article 16 of the abovementioned Agreement.,10/06/1972,Peru  Ecuador,N.A.
Amazon,Ecuador,Treaty for Amazonian cooperation,03/07/1978,Bolivia  Brazil Colombia  Ecuador  Guyana  Peru  Suriname  Venezuela,Economic Development
Zarumilla,Ecuador,Agreement on the criteria for the rehabilitation or reconstruction of the headworks and ancillary works of the Zarumilla Canal,05/03/1998,Ecuador  Peru,Navigation  Water Quality  Joint Management  Technical Cooperation/Assistance
Amazon,Ecuador,Declaration and exchange of Notes concerning the termination of the process of demarcation of the Peruvian-Ecuadorean frontier,22/05/1944,Ecuador  Peru,Water Quantity
Groundwater,Egypt,Agreement 1 - Text between Chad  Egypt  Libya and Sudan concerning the monitoring and exchange of groundwater information of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Groundwater,Egypt,Agreement 2 - Text between Chad  Egypt  Libya and Sudan for Monitoring and Data Sharing for sustainable development and proper management of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Unknown,Egypt,Agreement fixing the frontier between Cyrenaica and Egypt. Cairo  6 December  1925,06/12/1925,Egypt  Italy,N.A.
Groundwater,Egypt,Bilateral Cooperation Agreement Minutes between Egypt and Libya on the establishment of the Joint Authority for the Study and Development of Groundwater of the Nubian Sandstone Aquifer System,08/07/1991,Egypt  Libya  AF63,N.A.
Nile,Egypt,Protocol (to the November 8  1959 agreement) Concerning the Establishment of the Permanent Joint Technical Committee. Cairo  17 January  1960,17/01/1960,Egypt  Sudan,N.A.
Unknown,Egypt,Exchange of Letters between Egypt and the U.K. 26 January  1925,26/01/1925,Egypt  U.K.,N.A.
Nile,Egypt,Agreement for the Hydrometeorological Survey of Lakes Victoria  Kyogo and Albert (Mobutu Sese Seko),17/08/1967,Kenya  Tanganyika  Uganda  Sudan  Egypt,N.A.
Nile,Egypt,Jebel Awilya Compensation Agreement. 1932,01/01/1932,Sudan  Egypt,N.A.
Nile,Egypt,Agreement between the government of the United Arab Republic and the government of Sudan for full utilization of the Nile waters,08/11/1959,Sudan  United Arab Republic,Flood control/relief  Water Quantity
Nile,Egypt,Exchanges of notes constituting an agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of Egypt regarding the construction of the Owen Falls Dam  Uganda,31/05/1949,Egypt  Great Britain,Hydro-power/Hydro-electricity
Nile,Egypt,Exchange of notes constituting an agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of Egypt regarding the construction of the Owen Falls Dam  Uganda,05/12/1949,Egypt  Great Britain,Hydro-power/Hydro-electricity
Nile,Egypt,Exchange of notes constituting an agreement between the Government of the United Kingdom of Great Britain and Northern Ireland on behalf of the government of Uganda and the government of Egypt regarding cooperation in meteorological and hydrological surveys in certain parts of the Nile Basin,20/03/1950,Egypt  Great Britain,Hydro-power/Hydro-electricity
Nile,Egypt,Exchange of notes constituting an agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of Egypt regarding the construction of the Owen Falls Dam in Uganda,05/01/1953,Great Britain  Egypt ,Hydro-power/Hydro-electricity
Jordan,Egypt,Franco-British convention on certain points connected with the mandates for Syria and the Lebanon  Palestine and Mesopotamia,23/12/1920,France  Great Britain,Irrigation  Hydro-power/Hydro-electricity
General,Egypt,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Egypt,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Nile,Egypt,Framework for general co-operation between the Arab Republic of Egypt and Ethiopia,01/07/1993,Egypt  Ethiopia,Water Quantity
Nile,Egypt,Exchange of notes constituting an agreement between the United Kingdom of Great Britain and Northern Ireland and Egypt regarding the utilisation of profits from the 1940 British government cotton buying commission and the 1941 joint Anglo-Egyptian cotton,10/12/1946,Great Britain  Egypt,Water Quantity
Nile,Egypt,Exchange of notes between His Majesty's government in the United Kingdom and the Egyptian Government in regard to the use of the waters of the River Nile for irrigation purposes,07/05/1929,Great Britain  Egypt ,Water Quantity
Unknown,El Salvador,Treaty of free trade and economic integration (with annexes and exchange of letters).,04/05/1905,Guatemala  El Salvador,N.A.
General,El Salvador,Comite' Coordinador Regional de Inistituciones de Agua Potable y Saneamiento de Centroamerica  Panama' y Republica Dominicana (CAPRE),01/05/1979,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama  Dominican Republic,N.A.
